address,name,r_n_address,rate,rate_num,고기,한식,중식,양식,일식,카페,가족식사,친구랑,술자리,밥약,데이트,디저트,혼밥,분위기 있는,가성비,깨끗한,소개팅,뒷풀이,Column2,Column3,Column4,예약가능여부,tags,참고사항
서울 서대문구 연세로5가길 20 1층 (우)03789,김덕후의차돌조 신촌점,창천동 57-55,3.7,10,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,,,,0,"'#데이트코스', '#점심식사', '#점심특선', '#친목모임', '#한우무한리필', '#회식장소', '#카카오페이', '#제로페이'",
서울 서대문구 연희로 34 (우)03784,연남닭발,창천동 444-1,4,17,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,,,,0,"'#안심식당', '#제로페이'",
서울 서대문구 연세로7길 18 1층 (우)03788,이찌방이야기,창천동 52-59,3.6,5,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,,,,0,'etc',
서울 서대문구 연세로7길 27 (우)03789,타이완소야 진진 신촌본점,창천동 57-5,4.6,27,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,,0,"'#혼밥', '#제로페이'",
서울 서대문구 명물길 36-3 1층 (우)03777,포티드,창천동 5-58,4,50,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,1,0,,,,0,"'#감성카페', '#데이트코스', '#디저트카페', '#분위기좋은', '#소개팅', '#이색카페', '#제로페이'",
서울 서대문구 연세로4길 41 2층 (우)03777,라임,창천동 13-4,4.1,34,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,,,,0,"'#데이트코스', '#소개팅', '#혼밥', '#제로페이'",
서울 서대문구 신촌역로 23 2층 (우)03777,마라탕 이대6호점,대현동 110-5,3.9,24,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,,,,0,"'#혼밥', '#제로페이'",
서울 서대문구 신촌로 155 해암빌딩 1층 (우)03766,돈까스대왕전,대현동 101-17,3.2,31,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,,,,0,'#혼밥',
서울 서대문구 연세로7안길 46 1층 (우)03787,하나,창천동 53-88,4.1,21,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,0,"'#데이트코스', '#카카오페이', '#제로페이'",
서울 서대문구 연세로4길 61 1층 (우)03777,히우카우,창천동 5-32,3.7,25,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,,,,0,"'#혼밥', '#제로페이'",
서울 서대문구 신촌로 17 동우빌딩 1층 (우)03785,주막,창천동 503-13,3.8,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,"'#혼밥', '#제로페이'",삭제!! 어느 주막인지 모르겠음
서울 서대문구 연세로7길 24 1층 (우)03788,더도이축산직영점 신촌본점,창천동 52-67,4.5,23,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,,,,0,"'#정육식당', '#회식장소', '#제로페이'",
서울 서대문구 연세로7길 24 2층 (우)03788,아마,창천동 52-67,4.4,58,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,,,,0,"'#데이트코스', '#이국적인', '#제로페이'",
서울 서대문구 연세로2길 77 (우)03778,공릉닭한마리,대현동 104-69,3.5,30,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,0,"'#안심식당', '#제로페이'",
서울 서대문구 연세로12길 39 (우)03776,뉴욕비앤씨 신촌점,창천동 2-77,3.8,19,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,,,,0,"'#비건푸드', '#수제맥주', '#이국적인', '#제로페이'",
서울 서대문구 이화여대5길 16 (우)03766,아웃닭 이대점,대현동 56-141,4.2,24,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,,,,0,'etc',
서울 서대문구 성산로 565 연세재단 Y빌딩 (우)03721,스타벅스 연대동문점,대신동 115,3.8,5,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,1,0,0,,,,0,'#카카오페이',
서울 서대문구 연세로9길 23 1층 (우)03788,육회본가 신촌점,창천동 52-45,4,14,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,,,,0,'#제로페이',
서울 서대문구 연세로11길 26 지하1층 (우)03788,1987피자,창천동 52-12,4.3,27,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,,,,0,"'#데이트코스', '#빈티지분위기', '#피맥'",
서울 서대문구 연세로7안길 10-5 2층 (우)03788,코지라운지,창천동 52-85,4.4,18,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,,,,0,"'#라운지펍', '#분위기좋은', '#칵테일바', '#혼술', '#제로페이'",
서울 서대문구 이화여대3길 2 (우)03766,포히엔베트남쌀국수 이대점,대현동 56-14,4.8,36,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,,,,0,"'#혼밥', '#제로페이'",
서울 서대문구 연세로2길 95 1층 (우)03778,대현매운족발 본점,대현동 104-25,4.4,16,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,,,,0,"'#안심식당', '#친목모임', '#혼밥', '#회식장소', '#제로페이'",
서울 서대문구 이화여대길 88-14 (우)03765,파파노다이닝,대현동 34-51,3.3,38,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,,,,0,"'#안심식당', '#일본가정식', '#혼밥', '#제로페이'",
서울 서대문구 명물길 37 (우)03776,오렌지 신촌점,창천동 45-1,2.6,5,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,,,,0,"'#룸술집', '#분위기좋은'",
서울 서대문구 연세로12길 30 1층 (우)03776,투고샐러드 신촌점,창천동 2-21,4,21,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,,,,0,"'#혼밥', '#카카오페이', '#제로페이'",
서울 서대문구 연세로12길 23 (우)03776,청년국수,창천동 2-2,3.4,34,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,,,,0,"'#혼밥', '#제로페이'",
서울 서대문구 이화여대길 79 성안나센터빌딩 3층 (우)03766,청년밥상문간 이화여자대학교점,대현동 37-38,5,16,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,,,,0,"'#혼밥', '#제로페이'",
서울 서대문구 연세로5다길 10 삼호빌딩 2층 (우)03789,삼호복집 신촌점,창천동 62-11,3.2,13,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,0,"'#친목모임', '#코스요리', '#제로페이'",
서울 서대문구 신촌역로 23 (우)03777,파스타리코 신촌직영점,대현동 110-5,3.5,20,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,,,,0,"'#데이트코스', '#혼밥', '#제로페이'",
서울 서대문구 명물길 27-19 (우)03776,도토리칼국수,창천동 46-4,4.6,68,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,0,"'#안심식당', '#가성비좋은', '#비건푸드', '#점심식사', '#혼밥', '#제로페이'",
서울 서대문구 이화여대5길 6 1층 (우)03766,낭만식탁,대현동 56-110,4.3,23,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,,,,0,"'#일본가정식', '#혼밥'",
서울 서대문구 연세로7안길 10-7 (우)03788,바프로,창천동 52-84,2,19,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,,,,0,"'#다트', '#데이트코스', '#라운지펍', '#루프탑있는', '#분위기좋은', '#칵테일바', '#회식장소'",
서울 서대문구 연세로7안길 14 2~3층 (우)03788,호탕마라탕 신촌점,창천동 52-123,2.9,41,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,,,,0,"'#비건푸드', '#점심식사', '#혼밥', '#제로페이'",
서울 서대문구 연세로5길 28 (우)03789,파파,창천동 62-2,4.1,13,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,,,,0,'etc',
서울 서대문구 연세로5다길 22-7 (우)03787,신촌 오빠네옛날떡볶이,창천동 62-21,2.7,32,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,,,,0,'etc',
서울 서대문구 연세로11길 15 1층 (우)03788,개미집 신촌점,창천동 52-26,3.1,18,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,,,,0,"'#안심식당', '#제로페이'",
서울 서대문구 연세로11길 10 지하 (우)03788,막걸리싸롱 신촌점,창천동 52-8,3.8,22,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,,,,0,"'#고즈넉한', '#데이트코스', '#분위기좋은', '#소개팅', '#친목모임', '#회식장소', '#제로페이'",
서울 서대문구 연세로7안길 10-3 (우)03788,불타는황소곱창 신촌점,창천동 52-43,4.2,15,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,,0,'#제로페이',
서울 서대문구 연세로9길 37 1층 (우)03787,신촌카우키,창천동 53-3,4.3,14,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,,,,0,"'#데이트코스', '#제로페이'",
서울 서대문구 이화여대7길 14 (우)03766,이름없는파스타 이화여대점,대현동 56-57,3.7,23,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,,,,0,"'#혼밥', '#제로페이'",
서울 서대문구 명물길 38 (우)03777,배스킨라빈스 CAFE31신촌점,창천동 5-55,3.6,13,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,,,,0,"'#데이트코스', '#카카오페이', '#제로페이'",
